"address","categories/0","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewImageUrls/48","reviewImageUrls/49","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","true","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan","id","false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"1 hari lalu","2025-03-31T00:49:59.108Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"13",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false","Pantai ini memang bagus banget.. kalau ke pacitan wajib ke sini",,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","false","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan","id","false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"2 hari lalu","2025-03-30T10:20:00.264Z",,,,,"https://lh3.googleusercontent.com/geougc-cs/AIHozJIDUT7HZzBB6sP5vh0jHI2fSH7Fik5U1NE8OblFnAZjSbDC1i-ZIhBcC2ihS1c3uZsNoSj086KQVNb8MY_impllowHSVmfswgzTlMeeETClqMhUgxZf1E6gRiBph5N-AGJbyxO8aQ","https://lh3.googleusercontent.com/geougc-cs/AIHozJK20MMp66zyNHe76fRJXBwDEKVLPS3wRQfqp-BC2FvQOTszb_gh1LFuYAoBpr4nOaXZX0nWK9nYAItxpmQgfovHjon4lUiktft7BY4rhj6gXJgEtWTyXKcMXMi_MPnVS8mIGmlo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"1",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false","Pantainya bersih baguuus cuma agak bingung tempat parkirnya",,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","true","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan","id","false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"2 hari lalu","2025-03-30T05:54:32.849Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"2",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false","Kesini pas puasa Lebaran, jadi suasananya seperti private beach
Pemandangan pantai jangan ditanya, sangat bagus tp harus hati2 bila ingin main air karena ada waktu ombak akan tinggi

saat puasa hanya ada bbrp warung makan yg buka",,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","true","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan",,"false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"seminggu lalu","2025-03-20T04:02:59.918Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"2",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false",,,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","false","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan",,"false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"2 minggu lalu","2025-03-17T05:39:32.699Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"2",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false",,,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","false","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan","id","false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"2 minggu lalu","2025-03-14T08:59:20.727Z",,,,,"https://lh3.googleusercontent.com/geougc-cs/AIHozJJhxS1ihwoUlV0JkJIuDXrOAXaPaqV7w2rokDOGVLtIhaSC1VpYrV13Tk5wve1BgOyrAC0a9dzsyP9Bof31ckR9H4r_y7KcXOU8EExGvZLGlWHWtyahVZNr1O7UmIZogLo371o",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"7",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false","Pantai nya bersih airnya asin dan jernih, baru x ne Nemu Pante yg bagus gini 😁🫰",,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","false","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan","id","false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"sebulan lalu","2025-02-27T09:41:32.330Z",,,,,"https://lh3.googleusercontent.com/geougc-cs/AIHozJKKwDuU0mu7ZUOS9s50UZXPgwBtu-wZDmKu57OM0Qi32vERHtCNlZpGYrmpfZM2fcKEDZBfFF6Rim_i4xzkF5MvryrqLaYyTnMfFV2AKfqbaVrezoq67XW48b8pbzVfODrYsqI","https://lh3.googleusercontent.com/geougc-cs/AIHozJLdNWa1CPxT6EYn68YVw9oOZot377D69NPkfoWSZhmp3yAmgGEqmxnMO0DnVkO8G5wBEcegpY_vbCd7pYgVdf9KvIfT42Q47116qzww6Mp7-DK3GTiRxHfQ5jQ6qA_28Jq69_5TbA","https://lh3.googleusercontent.com/geougc-cs/AIHozJL5u082ZTAVuluKQ7keWOcl_Y-9iMzEQqVw_57TMM98gmN0NyCYcW0KSdiSvlHOFb1nywec35YJK_VUP1ayx-Pu6IeoOuj8xlv5jDNwn7oC9T4TmqhuIjl_Kqm1ScILI02JJ1Jv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"5",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false","Terbayarkan dengan indahnya pantai, masakan yg enak, meskipun medan yg di lalui sungguh penuh tantangan 😂
Sungguh berkesan",,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","true","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan","id","false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"sebulan lalu","2025-02-26T01:42:09.773Z",,,,,"https://lh3.googleusercontent.com/geougc-cs/AIHozJLRQTagvN6EYfAZgShHLioEw0AAtT69SKB8fwpftD47Hky0vahrtdfEjrjw3XW8sp5pF5w6RJcM_3phIk9uq5u1yqgjRqFsdqWLdjjwYoYh6JyXRecfcMGEX6LMkEBhRr8z0JE9","https://lh3.googleusercontent.com/geougc-cs/AIHozJLCy5xUbARmiRJxQoNEmQNWQwExJeaFkHvswwQifVD3-EbP3cKLDXeqbZBTPmhx_o72eTnf89u_PDh01-3VTmDHuj-LV-O9zVS18IaklruK8B6Js3w1v4QOpQBJ46KetmOdyH5bYg","https://lh3.googleusercontent.com/geougc-cs/AIHozJJGaJNUT9gwJtsu8n7CIHlbvOtmLNK4vZFmOEHmTCvwGjpmRBCw9KTRN2QSM3lsAj3YWuk7J_o-Fd8GITzgRnFegSzlV3obgctEcOmkQ_W-JGXgZkzFtaUbfhuXREf8jUyliE8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"72",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false","Pantai cantik dan bersih, ombak cukup besar tidak bisa untuk berenang. Disebelah kanan ada bukit dengan gardu pandang. Dibawahnya langsung terhubung dengan pantai waduk dengan ombak yang lebih menantang, sepertinya akan cocok untuk berselancar.
Parkiran warga cukup banyak. Ada cukup banyak pula warung makan yang menjual ikan bakar dan lobster.",,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","true","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan","id","false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"sebulan lalu","2025-02-25T05:22:54.986Z",,,,,"https://lh3.googleusercontent.com/geougc-cs/AIHozJILcdw3xzFzg37nEQKoMf7LdH34d5MuygOue5oTEH_plXka8-CG7xeAnfl9cmjSJw-Mxck0MbBwMNtoVWQnbx2U9HUArMSJdz79dVQS2dO5puAGhRkZcZYur7TkA7drpF5JyBzM","https://lh3.googleusercontent.com/geougc-cs/AIHozJIzgx9ydvNUl5G4_wr0C90kVBlP4jnSiGP9zYEAjMbboIkWOc3Dr6vVmE2Ge1lg8o05Yqxocc7VnrMvBzSpSPcaLAPgWS_mMUGCfxSsn9INFMRf_EwAeMgesbUoy_MCKmlKYnu1ew","https://lh3.googleusercontent.com/geougc-cs/AIHozJKwse9NN9c6Mf19OSUfOG2ju03g_8ityyG6lA62X000JLdCsaEmq_VpiXmUeKPkIheUdB06f7LKZpBE8qP3Wu3RodJplyk8ZPBqdFgHTs3-fVsecvwX6gHjRLNsb9ywkFg-TqTN","https://lh3.googleusercontent.com/geougc-cs/AIHozJIFU22mvLSIXTr-W58qpcoY-zLsdFH_VRfuw0h0d9SHLnzS9LwvFLgPh8bsYm-o9QitD7_nuqTxxK05cvOHWNPH34fGdnyZ8z67uXZBc_xjcrU-7xRjkU1grirnU51p-8SENO6SEg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"769",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","5","Jawa Timur","Pringkuku","false","Terbaik untuk menikmati sunset",,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
"Pringkuku, Ketro, Watukarung, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63552, Indonesia","Pantai","Pantai","8976464376627943994","Kabupaten Pacitan","ID","0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a","https://lh3.googleusercontent.com/p/AF1QipN0S7b5N1WPTA6_P2hyIZmVXoohfj6AXpDLOoAg=w423-h240-k-no","false","true","id","0","-8.2369236","110.9732122",,"Ketro, Watukarung, Kecamatan Pacitan","id","false","ChIJ1y-Hlr_dey4ROlrbi8rOknw","63552",,"sebulan lalu","2025-02-24T12:06:45.504Z",,,,,"https://lh3.googleusercontent.com/geougc-cs/AIHozJK_oj7wHOq8x98aQ_2hpzAzDF44mYrQ6AaquF8_c-kH2MHg54vZLYUPpYpxLoO0Z7bv06ommcEXkgzM8bO-oCrqF6l5E7WkKPcTlXs4DCdqNQice9tXkgCvl0u_1xgWf9SZgXij","https://lh3.googleusercontent.com/geougc-cs/AIHozJKUjTV71fyzHeGcLa-9CKXmGhqeD9o0H1PodtWWXEjnFb6_XMfaqncsjS-S449jSekRzqbwwxKptNO3mT7_kKUPFuonZmHADYdDmklKYfC9zehAGVA5VB58jGey7ygPa79m9jAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google",,,"5",,,"5301","2025-04-01T10:22:14.684Z","Direct Detail URL: https://www.google.com/maps/place/Pantai+Watu+Karung/@-8.2369021,110.9629125,15z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf96872fd7:0x7c92ceca8bdb5a3a!8m2!3d-8.2369236!4d110.9732122!16s%2Fg%2F11b7tsy95k?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D","4","Jawa Timur","Pringkuku","false","Pantai ny tyt d balik perkampungan.
Pantai yg boleh di bilg aman utk anak kecil (tp tetap dlm pngawasan org tua) krn ombak nya tdk begitu besar
Nebeng save Moment🤭
Setidaknya kmi sklrg pernah main ke sini😁🤞🌹🌹✨",,"Pantai Watu Karung","4.6",,"https://www.google.com/maps/search/?api=1&query=Pantai%20Watu%20Karung&query_place_id=ChIJ1y-Hlr_dey4ROlrbi8rOknw",
